,algo,length,param,score,run_time
0,rhc,5,1,3.0,0.0007228851318359375
1,rhc,5,2,4.0,0.0007770061492919922
2,rhc,5,4,4.0,0.0013492107391357422
3,rhc,5,8,4.0,0.0022430419921875
4,rhc,5,16,4.0,0.004339933395385742
5,rhc,5,32,4.0,0.007436990737915039
6,rhc,25,1,19.0,0.0008299350738525391
7,rhc,25,2,19.0,0.0013120174407958984
8,rhc,25,4,19.0,0.0019168853759765625
9,rhc,25,8,19.0,0.003650188446044922
10,rhc,25,16,21.0,0.0070569515228271484
11,rhc,25,32,21.0,0.01192927360534668
12,rhc,125,1,82.0,0.002828836441040039
13,rhc,125,2,82.0,0.003567934036254883
14,rhc,125,4,82.0,0.0048329830169677734
15,rhc,125,8,82.0,0.010133028030395508
16,rhc,125,16,82.0,0.02198195457458496
17,rhc,125,32,86.0,0.04056286811828613
18,rhc,625,1,350.0,0.014999866485595703
19,rhc,625,2,350.0,0.015511035919189453
20,rhc,625,4,385.0,0.04378104209899902
21,rhc,625,8,385.0,0.0653371810913086
22,rhc,625,16,385.0,0.15052175521850586
23,rhc,625,32,385.0,0.2768869400024414
0,sa,5,<mlrose.decay.GeomDecay object at 0x7fcbd0cebe80>,4.0,0.0009019374847412109
1,sa,5,<mlrose.decay.ArithDecay object at 0x7fcbd0cebd60>,4.0,0.0063741207122802734
2,sa,5,<mlrose.decay.ExpDecay object at 0x7fcbd0cebca0>,4.0,0.0027599334716796875
3,sa,25,<mlrose.decay.GeomDecay object at 0x7fcbd0cebe80>,21.0,0.00402379035949707
4,sa,25,<mlrose.decay.ArithDecay object at 0x7fcbd0cebd60>,21.0,0.025953054428100586
5,sa,25,<mlrose.decay.ExpDecay object at 0x7fcbd0cebca0>,23.0,0.004476070404052734
6,sa,125,<mlrose.decay.GeomDecay object at 0x7fcbd0cebe80>,102.0,0.01761794090270996
7,sa,125,<mlrose.decay.ArithDecay object at 0x7fcbd0cebd60>,81.0,0.052947998046875
8,sa,125,<mlrose.decay.ExpDecay object at 0x7fcbd0cebca0>,109.0,0.022329092025756836
9,sa,625,<mlrose.decay.GeomDecay object at 0x7fcbd0cebe80>,503.0,0.20424485206604004
10,sa,625,<mlrose.decay.ArithDecay object at 0x7fcbd0cebd60>,464.0,0.21459507942199707
11,sa,625,<mlrose.decay.ExpDecay object at 0x7fcbd0cebca0>,501.0,0.20494794845581055
0,ga,5,0.0,4.0,0.13110899925231934
1,ga,5,0.2,4.0,0.12313675880432129
2,ga,5,0.4,4.0,0.1227879524230957
3,ga,5,0.6,4.0,0.1254589557647705
4,ga,5,0.8,4.0,0.12578988075256348
5,ga,25,0.0,23.0,0.2510037422180176
6,ga,25,0.2,21.0,0.16551804542541504
7,ga,25,0.4,20.0,0.17948317527770996
8,ga,25,0.6,22.0,0.18618202209472656
9,ga,25,0.8,21.0,0.32274603843688965
10,ga,125,0.0,82.0,0.2205822467803955
11,ga,125,0.2,82.0,0.31308507919311523
12,ga,125,0.4,80.0,0.4066131114959717
13,ga,125,0.6,82.0,0.3819758892059326
14,ga,125,0.8,82.0,0.9248709678649902
15,ga,625,0.0,368.0,0.9474461078643799
16,ga,625,0.2,356.0,1.4141669273376465
17,ga,625,0.4,353.0,1.2601730823516846
18,ga,625,0.6,354.0,3.444967746734619
19,ga,625,0.8,354.0,2.4639382362365723
0,mimc,5,0.0,4.0,0.11567401885986328
1,mimc,5,0.3,4.0,0.10328793525695801
2,mimc,5,0.6,4.0,0.10161805152893066
3,mimc,5,0.9,4.0,0.09967589378356934
4,mimc,25,0.0,18.0,2.265259027481079
5,mimc,25,0.3,24.0,3.301964044570923
6,mimc,25,0.6,24.0,4.74599289894104
7,mimc,25,0.9,20.0,3.2505321502685547
